time,x,y,z,serving_cell,rsrp_serving,rsrq_serving,prb_util,allocated_prbs,throughput_mbps
0.00,100.0,100.0,100.0,1,-64.67,-3.00,0.285,45,95.06
0.50,105.0,105.0,100.0,1,-42.54,-3.00,0.252,45,154.62
1.00,110.0,110.0,100.0,1,-40.37,-3.00,0.235,45,160.44
1.50,115.0,115.0,100.0,1,-40.00,-3.00,0.301,45,161.45
2.00,120.0,120.0,100.0,1,-41.54,-3.00,0.360,45,157.29
2.50,125.0,125.0,100.0,1,-59.53,-3.00,0.371,45,108.88
3.00,130.0,130.0,100.0,1,-42.96,-3.00,0.402,45,153.48
3.50,135.0,135.0,100.0,1,-44.28,-3.00,0.477,45,149.94
4.00,140.0,140.0,100.0,1,-40.00,-3.00,0.428,45,161.45
4.50,145.0,145.0,100.0,1,-40.00,-3.00,0.419,45,161.45
5.00,150.0,150.0,100.0,1,-65.56,-3.11,0.333,45,92.67
5.50,155.0,155.0,100.0,1,-40.00,-3.00,0.410,45,161.45
6.00,160.0,160.0,100.0,1,-40.00,-3.00,0.356,45,161.45
6.50,165.0,165.0,100.0,1,-42.80,-3.00,0.396,45,153.92
7.00,170.0,170.0,100.0,1,-55.15,-3.00,0.388,45,120.68
7.50,175.0,175.0,100.0,1,-40.00,-3.00,0.465,45,161.45
8.00,180.0,180.0,100.0,1,-40.00,-3.00,0.404,45,161.45
8.50,185.0,185.0,100.0,1,-40.00,-3.00,0.412,45,161.45
9.00,190.0,190.0,100.0,1,-40.00,-3.00,0.382,45,161.45
9.50,195.0,195.0,100.0,1,-40.00,-3.00,0.348,45,161.45
10.00,200.0,200.0,100.0,1,-44.20,-3.00,0.291,45,150.14
10.50,205.0,205.0,100.0,1,-40.00,-3.00,0.342,45,161.45
11.00,210.0,210.0,100.0,1,-40.00,-3.00,0.392,45,161.45
11.50,215.0,215.0,100.0,1,-40.00,-3.00,0.391,45,161.45
12.00,220.0,220.0,100.0,1,-40.00,-3.00,0.285,45,161.45
12.50,225.0,225.0,100.0,1,-64.52,-3.00,0.295,45,95.47
13.00,230.0,230.0,100.0,1,-59.39,-3.00,0.282,45,109.27
13.50,235.0,235.0,100.0,1,-40.00,-3.00,0.289,45,161.45
14.00,240.0,240.0,100.0,1,-40.00,-3.00,0.364,45,161.45
14.50,245.0,245.0,100.0,1,-64.46,-3.00,0.384,45,95.63
15.00,250.0,250.0,100.0,1,-40.00,-3.00,0.323,45,161.45
15.50,255.0,255.0,100.0,1,-40.00,-3.00,0.473,45,161.45
16.00,260.0,260.0,100.0,1,-42.75,-3.00,0.429,45,154.06
16.50,265.0,265.0,100.0,1,-44.74,-3.00,0.506,45,148.70
17.00,270.0,270.0,100.0,1,-40.00,-3.00,0.448,45,161.45
17.50,275.0,275.0,100.0,1,-40.00,-3.00,0.398,45,161.45
18.00,280.0,280.0,100.0,1,-40.00,-3.00,0.405,45,161.45
18.50,285.0,285.0,100.0,1,-43.43,-3.00,0.349,45,152.22
19.00,290.0,290.0,100.0,1,-64.41,-3.00,0.369,45,95.77
19.50,295.0,295.0,100.0,1,-56.07,-3.00,0.388,45,118.22
20.00,300.0,300.0,100.0,1,-40.00,-3.00,0.370,45,161.45
