time,cell_id,rsrp_dbm,rsrq_db
0.00,1,-114.71,8.53
0.00,1,-114.70,8.53
0.00,1,-114.70,8.54
0.00,1,-114.70,8.54
0.00,1,-114.70,8.54
0.01,1,-114.70,8.54
0.01,1,-114.70,8.54
0.01,1,-114.70,8.54
0.01,1,-114.70,8.54
0.01,1,-114.70,8.54
0.01,1,-114.69,8.55
0.01,1,-114.69,8.55
0.01,1,-114.69,8.55
0.01,1,-114.69,8.55
0.01,1,-114.69,8.55
0.02,1,-114.69,8.55
0.02,1,-114.69,8.55
0.02,1,-114.69,8.55
0.02,1,-114.68,8.55
0.02,1,-114.68,8.56
0.02,1,-114.68,8.56
0.02,1,-114.68,8.56
0.02,1,-114.68,8.56
0.02,1,-114.68,8.56
0.02,1,-114.68,8.56
0.03,1,-114.68,8.56
0.03,1,-114.67,8.56
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.03,1,-114.67,8.57
0.04,1,-114.66,8.57
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.66,8.58
0.04,1,-114.65,8.58
0.04,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.65,8.59
0.05,1,-114.64,8.59
0.05,1,-114.64,8.60
0.05,1,-114.64,8.60
0.06,1,-114.64,8.60
0.06,1,-114.64,8.60
0.06,1,-114.64,8.60
0.06,1,-114.64,8.60
0.06,1,-114.64,8.60
0.06,1,-114.63,8.60
0.06,1,-114.63,8.61
0.06,1,-114.63,8.61
0.06,1,-114.63,8.61
0.06,1,-114.63,8.61
0.07,1,-114.63,8.61
0.07,1,-114.63,8.61
0.07,1,-114.63,8.61
