time,cell_id,rsrp_dbm,rsrq_db,sinr_db,ue_id,dl_throughput_bps,ul_throughput_bps
1.992,1,-66.0,14.0,14.0,ue_001010123456002,2336.0,224.0
2.241,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
2.49,1,-66.0,14.0,14.0,ue_001010123456002,1856.0,19520.0
2.739,1,-65.0,14.0,14.0,ue_001010123456002,2976.0,56576.0
2.988,1,-66.0,14.0,14.0,ue_001010123456002,4896.0,39936.0
3.237,1,-66.0,14.0,14.0,ue_001010123456002,722848.0,0.0
3.486,1,-65.0,14.0,14.0,ue_001010123456002,1123200.0,6560.0
3.735,1,-66.0,14.0,14.0,ue_001010123456002,1087200.0,0.0
3.984,1,-66.0,14.0,14.0,ue_001010123456002,1087200.0,0.0
4.233,1,-65.0,15.0,15.0,ue_001010123456002,1044000.0,0.0
4.482,1,-65.0,14.0,14.0,ue_001010123456002,1152000.0,0.0
4.731,1,-66.0,14.0,14.0,ue_001010123456002,944448.0,0.0
4.98,1,-65.0,14.0,14.0,ue_001010123456002,907968.0,0.0
5.229,1,-65.0,14.0,14.0,ue_001010123456002,695872.0,0.0
5.478,1,-65.0,14.0,14.0,ue_001010123456002,699232.0,0.0
5.727,1,-65.0,14.0,14.0,ue_001010123456002,834784.0,17056.0
5.976,1,-65.0,14.0,14.0,ue_001010123456002,755104.0,0.0
6.225,1,-65.0,14.0,14.0,ue_001010123456002,1094688.0,17056.0
6.474,1,-65.0,14.0,14.0,ue_001010123456002,1208160.0,17056.0
6.723,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,0.0
6.972,1,-65.0,14.0,14.0,ue_001010123456002,1144800.0,0.0
7.221,1,-65.0,14.0,14.0,ue_001010123456002,1123200.0,0.0
7.47,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,34112.0
7.719,1,-65.0,14.0,14.0,ue_001010123456002,1195200.0,34112.0
7.968,1,-65.0,14.0,14.0,ue_001010123456002,1411200.0,0.0
8.217,1,-65.0,14.0,14.0,ue_001010123456002,1065600.0,0.0
8.466,1,-65.0,14.0,14.0,ue_001010123456002,1324800.0,51168.0
8.715,1,-65.0,14.0,14.0,ue_001010123456002,1195200.0,0.0
8.964,1,-65.0,14.0,14.0,ue_001010123456002,1090688.0,17056.0
9.213,1,-65.0,14.0,14.0,ue_001010123456002,662400.0,0.0
9.462,1,-65.0,14.0,14.0,ue_001010123456002,72000.0,0.0
9.711,1,-65.0,14.0,14.0,ue_001010123456002,1190336.0,34112.0
9.96,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,17056.0
10.209,1,-65.0,14.0,14.0,ue_001010123456002,1245600.0,34112.0
10.458,1,-65.0,14.0,14.0,ue_001010123456002,1195200.0,17056.0
10.707,1,-65.0,14.0,14.0,ue_001010123456002,1274400.0,0.0
10.956,1,-65.0,14.0,14.0,ue_001010123456002,723232.0,34112.0
11.205,1,-65.0,14.0,14.0,ue_001010123456002,1238400.0,0.0
11.454,1,-65.0,14.0,14.0,ue_001010123456002,1159200.0,17056.0
11.703,1,-65.0,14.0,14.0,ue_001010123456002,1252800.0,0.0
11.952,1,-65.0,14.0,14.0,ue_001010123456002,1271040.0,0.0
12.201,1,-65.0,14.0,14.0,ue_001010123456002,1066368.0,17056.0
12.45,1,-65.0,14.0,14.0,ue_001010123456002,1216800.0,34112.0
12.699,1,-65.0,14.0,14.0,ue_001010123456002,1180800.0,17056.0
12.948,1,-65.0,14.0,14.0,ue_001010123456002,1231200.0,34112.0
13.197,1,-65.0,14.0,14.0,ue_001010123456002,1524544.0,0.0
13.446,1,-65.0,14.0,14.0,ue_001010123456002,1180800.0,0.0
13.695,1,-65.0,14.0,14.0,ue_001010123456002,1624416.0,17056.0
13.944,1,-65.0,14.0,14.0,ue_001010123456002,1722432.0,0.0
14.193,1,-65.0,14.0,14.0,ue_001010123456002,1159200.0,0.0
14.442,1,-65.0,14.0,14.0,ue_001010123456002,0.0,17056.0
14.691,1,-65.0,14.0,14.0,ue_001010123456002,0.0,17056.0
14.94,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
15.189,1,-65.0,14.0,14.0,ue_001010123456002,979200.0,17056.0
15.438,1,-65.0,14.0,14.0,ue_001010123456002,838496.0,0.0
15.687,1,-65.0,14.0,14.0,ue_001010123456002,1267200.0,17056.0
15.936,1,-65.0,14.0,14.0,ue_001010123456002,1247936.0,0.0
16.185,1,-65.0,14.0,14.0,ue_001010123456002,1066688.0,34112.0
16.434,1,-65.0,14.0,14.0,ue_001010123456002,1019808.0,51168.0
16.683,1,-65.0,14.0,14.0,ue_001010123456002,1517024.0,51168.0
16.932,1,-65.0,14.0,14.0,ue_001010123456002,1288800.0,68224.0
17.181,1,-65.0,14.0,14.0,ue_001010123456002,1101600.0,17056.0
17.43,1,-65.0,14.0,14.0,ue_001010123456002,1195200.0,51168.0
17.679,1,-65.0,14.0,14.0,ue_001010123456002,1216800.0,17056.0
17.928,1,-65.0,14.0,14.0,ue_001010123456002,896000.0,17056.0
18.177,1,-65.0,14.0,14.0,ue_001010123456002,1135296.0,17056.0
18.426,1,-65.0,14.0,14.0,ue_001010123456002,1447680.0,17056.0
18.675,1,-65.0,14.0,14.0,ue_001010123456002,1245600.0,34112.0
18.924,1,-65.0,14.0,14.0,ue_001010123456002,606880.0,17056.0
19.173,1,-65.0,14.0,14.0,ue_001010123456002,1197280.0,17056.0
19.422,1,-65.0,14.0,14.0,ue_001010123456002,1326912.0,17056.0
19.671,1,-65.0,14.0,14.0,ue_001010123456002,832064.0,0.0
19.92,1,-65.0,14.0,14.0,ue_001010123456002,1222144.0,17056.0
20.169,1,-65.0,14.0,14.0,ue_001010123456002,1274400.0,17056.0
20.418,1,-65.0,14.0,14.0,ue_001010123456002,1245600.0,17056.0
20.667,1,-65.0,14.0,14.0,ue_001010123456002,1296000.0,55520.0
20.916,1,-65.0,14.0,14.0,ue_001010123456002,302400.0,0.0
21.165,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
21.414,1,-65.0,14.0,14.0,ue_001010123456002,156288.0,0.0
21.663,1,-65.0,14.0,14.0,ue_001010123456002,844128.0,0.0
21.912,1,-65.0,14.0,14.0,ue_001010123456002,1047488.0,17056.0
22.161,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,34112.0
22.41,1,-65.0,14.0,14.0,ue_001010123456002,1195200.0,34112.0
22.659,1,-65.0,14.0,14.0,ue_001010123456002,1116000.0,0.0
22.908,1,-65.0,14.0,14.0,ue_001010123456002,273600.0,0.0
23.157,1,-65.0,14.0,14.0,ue_001010123456002,1166400.0,0.0
23.406,1,-65.0,14.0,14.0,ue_001010123456002,0.0,17056.0
23.655,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
23.904,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
24.153,1,-65.0,14.0,14.0,ue_001010123456002,0.0,0.0
24.402,1,-65.0,14.0,14.0,ue_001010123456002,302400.0,17056.0
24.651,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,17056.0
24.9,1,-65.0,14.0,14.0,ue_001010123456002,1188000.0,0.0
25.149,1,-65.0,14.0,14.0,ue_001010123456002,1231200.0,34112.0
25.398,1,-65.0,14.0,14.0,ue_001010123456002,1224000.0,51168.0
25.647,1,-65.0,14.0,14.0,ue_001010123456002,1202400.0,17056.0
25.896,1,-65.0,14.0,14.0,ue_001010123456002,1303200.0,0.0
26.145,1,-65.0,14.0,14.0,ue_001010123456002,1223520.0,34112.0
26.394,1,-65.0,14.0,14.0,ue_001010123456002,864000.0,0.0
26.643,1,-65.0,14.0,14.0,ue_001010123456002,352800.0,17056.0
